slice_idx,circle_idx,is_articular,area_px,center_x_mm,center_y_mm,center_z_mm,normal_x,normal_y,normal_z,radius_mm,num_inliers,num_total_in_slice,inlier_ratio,fit_residual_mm
8,0,0,1665,-102.1870,-37.1376,27.4927,-0.219999,0.457986,-0.861307,16.2805,80,83,0.9639,0.5367
9,0,0,2167,-103.0868,-35.9798,24.5069,0.219999,-0.457986,0.861307,17.8354,73,86,0.8488,0.4271
10,0,1,2684,-103.7184,-34.3486,21.7042,0.219999,-0.457986,0.861307,18.6319,63,74,0.8514,0.5606
11,0,1,2911,-104.5348,-32.9561,18.8218,0.219999,-0.457986,0.861307,19.3286,73,88,0.8295,0.6882
12,0,1,3182,-105.7037,-31.2603,16.1907,-0.219999,0.457986,-0.861307,19.4706,52,80,0.6500,0.6895
13,0,1,3177,-108.7823,-29.5412,14.0598,0.219999,-0.457986,0.861307,19.6592,57,94,0.6064,0.6998
14,0,1,2888,-109.5934,-28.2879,11.1020,0.219999,-0.457986,0.861307,19.1422,46,79,0.5823,0.6152
15,0,1,2394,-109.9476,-28.8542,7.0599,-0.219999,0.457986,-0.861307,16.1617,46,72,0.6389,0.6549
16,0,0,1803,-113.0136,-30.2253,3.2826,0.219999,-0.457986,0.861307,11.7171,35,53,0.6604,0.7109
17,0,0,1213,-109.6658,-26.9806,0.3214,0.219999,-0.457986,0.861307,9.2756,37,52,0.7115,0.6414
18,0,0,900,-113.2620,-26.4192,-2.2929,-0.219999,0.457986,-0.861307,10.1896,33,50,0.6600,0.7519
19,0,0,744,-111.7824,-24.2011,-5.3227,0.219999,-0.457986,0.861307,7.6426,28,38,0.7368,0.5574
20,0,0,613,-115.5575,-24.4361,-8.3149,-0.219999,0.457986,-0.861307,7.3411,30,36,0.8333,0.6394
21,0,0,528,-114.9590,-21.2275,-10.5929,-0.219999,0.457986,-0.861307,7.3226,39,47,0.8298,0.6309
22,0,0,469,-115.5029,-19.8137,-13.5337,-0.219999,0.457986,-0.861307,6.5522,34,39,0.8718,0.6043
23,0,0,400,-116.5763,-18.3713,-16.3238,-0.219999,0.457986,-0.861307,6.3299,37,39,0.9487,0.6987
