slice_idx,circle_idx,is_articular,area_px,center_x_mm,center_y_mm,center_z_mm,normal_x,normal_y,normal_z,radius_mm,num_inliers,num_total_in_slice,inlier_ratio,fit_residual_mm
1,0,0,1254,-114.8075,-18.8980,-7.9596,-0.013215,-0.005843,-0.999896,10.3263,51,51,1.0000,0.5223
2,0,0,1404,-112.8506,-20.0689,-4.6782,0.013215,0.005843,0.999896,11.4123,63,69,0.9130,0.3870
3,0,0,1691,-111.9477,-20.7840,-1.3856,-0.013215,-0.005843,-0.999896,12.0170,57,57,1.0000,0.3371
4,0,0,1845,-110.2744,-21.7569,1.8983,0.013215,0.005843,0.999896,13.4716,49,57,0.8596,0.4382
5,0,0,2445,-107.6828,-22.2392,5.1672,0.013215,0.005843,0.999896,15.6138,59,88,0.6705,0.5784
6,0,0,3382,-105.4172,-23.5760,8.4454,0.013215,0.005843,0.999896,17.8594,78,95,0.8211,0.5206
7,0,0,4231,-104.2839,-22.6706,11.7255,0.013215,0.005843,0.999896,19.8939,70,105,0.6667,0.5867
8,0,0,4910,-104.5754,-20.8180,15.0188,0.013215,0.005843,0.999896,22.3669,65,103,0.6311,0.5510
9,0,0,5748,-104.6542,-20.8776,18.3206,0.013215,0.005843,0.999896,22.7745,81,109,0.7431,0.4300
10,0,1,6054,-102.9796,-22.6656,21.6092,-0.013215,-0.005843,-0.999896,23.9565,89,121,0.7355,0.5436
11,0,1,7004,-100.6717,-23.3403,28.1834,-0.013215,-0.005843,-0.999896,24.5547,96,129,0.7442,0.6575
12,0,1,8346,-103.2855,-20.5556,31.5020,0.013215,0.005843,0.999896,20.1901,64,95,0.6737,0.4716
14,0,0,3973,-102.3840,-19.1767,38.0827,0.013215,0.005843,0.999896,15.1222,80,85,0.9412,0.3929
15,0,0,2893,-101.8955,-20.0583,41.3817,-0.013215,-0.005843,-0.999896,11.4040,53,53,1.0000,0.4291
