slice_idx,num_points,x_mm,y_mm,z_mm
13,49,-138.1075,-47.1962,18.0533
13,49,-139.4201,-45.2642,18.6050
13,49,-140.0764,-44.6264,18.8253
13,49,-140.0764,-43.3138,19.0472
13,49,-140.7327,-42.6760,19.2676
13,49,-140.7327,-42.0197,19.3785
13,49,-141.3890,-41.3818,19.5989
13,49,-141.3890,-36.7876,20.3753
13,49,-140.7327,-36.1128,20.3767
13,49,-140.7327,-35.4565,20.4876
13,49,-140.0764,-34.7816,20.4891
13,49,-135.4823,-16.9315,22.7175
13,49,-134.8260,-16.2567,22.7190
13,49,-134.8260,-15.6004,22.8299
13,49,-134.1697,-14.9256,22.8313
13,49,-134.1697,-14.2693,22.9423
13,49,-132.8571,-12.9196,22.9451
13,49,-132.8571,-12.2633,23.0561
13,49,-130.8882,-10.2389,23.0604
13,49,-130.2319,-10.2204,22.9509
13,49,-128.2630,-8.1959,22.9553
13,49,-126.9504,-8.1589,22.7363
13,49,-126.2941,-7.4841,22.7378
13,49,-124.3252,-7.4286,22.4094
13,49,-123.6689,-6.7538,22.4108
13,49,-117.1059,-6.5688,21.3162
13,49,-116.4496,-7.2066,21.0958
13,49,-114.4807,-7.1511,20.7674
13,49,-113.8244,-7.7889,20.5470
13,49,-113.1681,-7.7704,20.4375
13,49,-111.1992,-9.6839,19.7764
13,49,-110.5429,-9.6654,19.6669
13,49,-109.8866,-10.3032,19.4465
13,49,-109.2303,-10.2847,19.3371
13,49,-107.9177,-11.5603,18.8963
13,49,-107.2614,-11.5418,18.7868
13,49,-105.9488,-12.8175,18.3461
13,49,-105.2925,-12.7990,18.2366
13,49,-102.6673,-15.3502,17.3551
13,49,-102.6673,-16.0066,17.2441
13,49,-99.3858,-19.1957,16.1422
13,49,-99.3858,-19.8520,16.0313
13,49,-98.7295,-20.4898,15.8109
13,49,-98.7295,-22.4588,15.4782
13,49,-98.0732,-23.0966,15.2578
13,49,-98.0732,-30.9724,13.9268
13,49,-98.7295,-31.6472,13.9254
13,49,-98.7295,-32.9599,13.7035
13,49,-115.1370,-49.8303,13.6673
14,63,-123.7131,-55.2691,9.8994
14,63,-126.3383,-54.6868,10.4482
14,63,-128.3072,-54.0860,10.8875
14,63,-130.2761,-53.4852,11.3268
14,63,-130.9324,-53.5037,11.4363
14,63,-131.5887,-52.8658,11.6567
14,63,-132.2450,-52.8843,11.7662
14,63,-132.9013,-52.2465,11.9866
14,63,-133.5576,-52.2650,12.0960
14,63,-139.4644,-46.5246,14.0795
14,63,-139.4644,-45.8683,14.1904
14,63,-140.7770,-44.5927,14.6312
14,63,-140.7770,-43.9364,14.7421
14,63,-141.4333,-43.2986,14.9624
14,63,-141.4333,-42.6422,15.0734
14,63,-142.0896,-42.0044,15.2937
14,63,-142.0896,-41.3481,15.4047
14,63,-142.7459,-40.7103,15.6250
14,63,-142.7459,-39.3976,15.8469
14,63,-143.4022,-38.7598,16.0673
14,63,-143.4022,-38.1035,16.1782
14,63,-144.0585,-37.4657,16.3986
14,63,-144.0585,-34.8404,16.8422
14,63,-143.4022,-34.1656,16.8437
14,63,-143.4022,-32.8530,17.0655
14,63,-142.7459,-32.1781,17.0670
14,63,-142.7459,-30.8655,17.2888
14,63,-135.5265,-12.2851,19.1903
14,63,-130.2761,-6.8865,19.2019
14,63,-128.9635,-6.8495,18.9829
14,63,-128.3072,-6.1747,18.9844
14,63,-127.6509,-6.1562,18.8749
14,63,-126.9946,-5.4814,18.8764
14,63,-125.0257,-5.4259,18.5480
14,63,-124.3694,-4.7511,18.5494
14,63,-116.4938,-4.5291,17.2358
14,63,-115.8375,-5.1669,17.0154
14,63,-113.8686,-5.1114,16.6870
14,63,-112.5560,-6.3870,16.2462
14,63,-111.8997,-6.3685,16.1368
14,63,-111.2434,-7.0064,15.9164
14,63,-110.5871,-6.9879,15.8069
14,63,-108.6182,-8.9013,15.1458
14,63,-107.9619,-8.8828,15.0363
14,63,-106.6493,-10.1585,14.5955
14,63,-105.9930,-10.1400,14.4861
14,63,-105.3367,-10.7778,14.2657
14,63,-104.6804,-10.7593,14.1562
14,63,-100.0863,-15.2240,12.6135
14,63,-100.0863,-16.5366,12.3917
14,63,-99.4300,-17.1745,12.1713
14,63,-99.4300,-17.8308,12.0604
14,63,-98.7737,-18.4686,11.8400
14,63,-98.7737,-19.1249,11.7291
14,63,-98.1174,-19.7627,11.5087
14,63,-98.1174,-21.7317,11.1760
14,63,-97.4611,-22.3695,10.9556
14,63,-97.4611,-26.9637,10.1792
14,63,-98.1174,-27.6386,10.1777
14,63,-98.1174,-29.6075,9.8450
14,63,-114.5249,-50.4159,9.1433
14,63,-114.5249,-52.3848,8.8105
14,63,-115.1812,-53.0597,8.8091
15,71,-124.4136,-54.5791,5.8162
15,71,-125.0699,-53.9412,6.0365
15,71,-127.0389,-53.9967,6.3649
15,71,-127.6952,-53.3589,6.5853
15,71,-128.3515,-53.3774,6.6948
15,71,-129.0078,-52.7396,6.9152
15,71,-130.3204,-52.7766,7.1341
15,71,-132.2893,-50.8631,7.7953
15,71,-132.9456,-50.8816,7.9047
15,71,-134.2582,-49.6060,8.3455
