slice_idx,circle_idx,is_articular,area_px,center_x_mm,center_y_mm,center_z_mm,normal_x,normal_y,normal_z,radius_mm,num_inliers,num_total_in_slice,inlier_ratio,fit_residual_mm
13,0,1,3088,-120.3156,-31.5005,17.6534,-0.166790,0.164300,-0.972207,24.1842,51,87,0.5862,0.5959
14,0,1,3530,-118.9826,-26.0888,14.0192,-0.166790,0.164300,-0.972207,21.3057,63,106,0.5943,0.5613
15,0,1,4037,-122.5931,-27.2053,10.1299,-0.166790,0.164300,-0.972207,24.7147,69,109,0.6330,0.6896
16,0,1,4211,-122.4926,-27.4658,5.7486,-0.166790,0.164300,-0.972207,25.3886,70,104,0.6731,0.4697
17,0,1,4252,-122.2051,-26.6176,1.5225,-0.166790,0.164300,-0.972207,24.9505,71,114,0.6228,0.4917
18,0,1,3939,-124.5353,-31.2393,-3.1788,0.166790,-0.164300,0.972207,19.4495,58,94,0.6170,0.6904
19,0,0,2500,-125.3854,-28.1276,-6.8272,-0.166790,0.164300,-0.972207,19.5832,50,78,0.6410,0.5035
21,0,0,1871,-131.0926,-26.8347,-14.2697,-0.166790,0.164300,-0.972207,14.6665,46,59,0.7797,0.5498
22,0,0,1480,-134.2756,-26.4769,-17.9832,-0.166790,0.164300,-0.972207,12.5985,49,56,0.8750,0.5316
23,0,0,1178,-136.2934,-25.2981,-21.7579,0.166790,-0.164300,0.972207,12.1258,45,48,0.9375,0.5277
24,0,0,1084,-137.6642,-24.1765,-25.6533,0.166790,-0.164300,0.972207,11.8413,52,54,0.9630,0.5154
25,0,0,1035,-139.5044,-23.1183,-29.4788,-0.166790,0.164300,-0.972207,11.5249,35,36,0.9722,0.5516
26,0,0,961,-140.9560,-21.6575,-33.3030,0.166790,-0.164300,0.972207,10.6688,45,46,0.9783,0.5882
27,0,0,853,-143.1182,-20.6603,-37.0836,-0.166790,0.164300,-0.972207,11.4440,46,46,1.0000,0.6815
28,0,0,936,-143.4926,-20.4989,-41.3121,0.166790,-0.164300,0.972207,11.3160,29,37,0.7838,0.5513
29,0,0,950,-146.6779,-18.4201,-44.7344,-0.166790,0.164300,-0.972207,11.0569,37,39,0.9487,0.6746
30,0,0,908,-148.6790,-17.2281,-48.5097,-0.166790,0.164300,-0.972207,9.5370,32,36,0.8889,0.5250
