slice_idx,circle_idx,is_articular,x_mm,y_mm,z_mm
13,0,1,-124.9815,-56.0147,14.3111
13,0,1,-125.6378,-55.3769,14.5315
13,0,1,-127.6067,-55.4324,14.8599
13,0,1,-128.2630,-54.7945,15.0803
13,0,1,-128.9193,-54.8130,15.1897
13,0,1,-129.5756,-54.1752,15.4101
13,0,1,-130.2319,-54.1937,15.5196
13,0,1,-130.8882,-53.5559,15.7400
13,0,1,-131.5445,-53.5744,15.8494
13,0,1,-135.4823,-49.7475,17.1717
13,0,1,-136.1386,-49.7660,17.2812
13,0,1,-138.1075,-47.8525,17.9424
13,0,1,-138.1075,-47.1962,18.0533
13,0,1,-139.4201,-45.9206,18.4940
13,0,1,-139.4201,-45.2642,18.6050
13,0,1,-140.0764,-44.6264,18.8253
13,0,1,-140.0764,-43.3138,19.0472
13,0,1,-140.7327,-42.6760,19.2676
13,0,1,-140.7327,-42.0197,19.3785
13,0,1,-141.3890,-41.3818,19.5989
13,0,1,-134.1697,-14.2693,22.9423
13,0,1,-132.8571,-12.9196,22.9451
13,0,1,-132.8571,-12.2633,23.0561
13,0,1,-130.8882,-10.2389,23.0604
13,0,1,-130.2319,-10.2204,22.9509
13,0,1,-128.2630,-8.1959,22.9553
13,0,1,-126.9504,-8.1589,22.7363
13,0,1,-126.2941,-7.4841,22.7378
13,0,1,-124.3252,-7.4286,22.4094
13,0,1,-123.6689,-6.7538,22.4108
13,0,1,-117.1059,-6.5688,21.3162
13,0,1,-116.4496,-7.2066,21.0958
13,0,1,-114.4807,-7.1511,20.7674
13,0,1,-113.8244,-7.7889,20.5470
13,0,1,-113.1681,-7.7704,20.4375
13,0,1,-111.1992,-9.6839,19.7764
13,0,1,-110.5429,-9.6654,19.6669
13,0,1,-109.8866,-10.3032,19.4465
13,0,1,-109.2303,-10.2847,19.3371
13,0,1,-107.9177,-11.5603,18.8963
13,0,1,-107.2614,-11.5418,18.7868
13,0,1,-105.9488,-12.8175,18.3461
13,0,1,-105.2925,-12.7990,18.2366
13,0,1,-102.6673,-15.3502,17.3551
13,0,1,-102.6673,-16.0066,17.2441
13,0,1,-99.3858,-19.1957,16.1422
13,0,1,-99.3858,-19.8520,16.0313
13,0,1,-98.7295,-20.4898,15.8109
13,0,1,-98.7295,-22.4588,15.4782
13,0,1,-98.0732,-23.0966,15.2578
13,0,1,-121.0437,-55.9037,13.6543
14,0,1,-140.7770,-28.1847,17.4040
14,0,1,-140.7770,-27.5284,17.5150
14,0,1,-140.1207,-26.8536,17.5164
14,0,1,-140.1207,-26.1973,17.6273
14,0,1,-139.4643,-25.5224,17.6288
14,0,1,-139.4643,-24.2098,17.8506
14,0,1,-138.8080,-23.5350,17.8521
14,0,1,-138.8080,-22.2224,18.0739
14,0,1,-138.1517,-21.5475,18.0753
14,0,1,-138.1517,-19.5786,18.4081
14,0,1,-137.4954,-18.9038,18.4095
14,0,1,-137.4954,-17.5911,18.6314
14,0,1,-136.8391,-16.9163,18.6328
14,0,1,-136.8391,-16.2600,18.7437
14,0,1,-136.1828,-15.5852,18.7452
14,0,1,-136.1828,-14.2725,18.9670
14,0,1,-135.5265,-13.5977,18.9684
14,0,1,-135.5265,-12.2851,19.1903
14,0,1,-128.9635,-6.8495,18.9829
14,0,1,-128.3072,-6.1747,18.9844
14,0,1,-127.6509,-6.1562,18.8749
14,0,1,-126.9946,-5.4814,18.8764
14,0,1,-125.0257,-5.4259,18.5480
14,0,1,-124.3694,-4.7511,18.5494
14,0,1,-116.4938,-4.5291,17.2358
14,0,1,-115.8375,-5.1669,17.0154
14,0,1,-113.8686,-5.1114,16.6870
14,0,1,-112.5560,-6.3870,16.2462
14,0,1,-111.8997,-6.3685,16.1368
14,0,1,-111.2434,-7.0064,15.9164
14,0,1,-110.5871,-6.9879,15.8069
14,0,1,-108.6182,-8.9013,15.1458
14,0,1,-107.9619,-8.8828,15.0363
14,0,1,-106.6493,-10.1585,14.5955
14,0,1,-105.9930,-10.1400,14.4861
14,0,1,-105.3367,-10.7778,14.2657
14,0,1,-104.6804,-10.7593,14.1562
14,0,1,-100.0863,-15.2240,12.6135
14,0,1,-100.0863,-16.5366,12.3917
14,0,1,-99.4300,-17.1745,12.1713
14,0,1,-99.4300,-17.8308,12.0604
14,0,1,-98.7737,-18.4686,11.8400
14,0,1,-98.7737,-19.1249,11.7291
14,0,1,-98.1174,-19.7627,11.5087
14,0,1,-98.1174,-21.7317,11.1760
14,0,1,-97.4611,-22.3695,10.9556
14,0,1,-97.4611,-26.9637,10.1792
14,0,1,-98.1174,-27.6386,10.1777
14,0,1,-98.1174,-29.6075,9.8450
14,0,1,-98.7737,-30.2823,9.8435
14,0,1,-98.7737,-30.9387,9.7326
14,0,1,-99.4300,-31.6135,9.7312
14,0,1,-99.4300,-32.9261,9.5093
14,0,1,-100.7426,-34.2757,9.5064
14,0,1,-101.3989,-34.2942,9.6159
14,0,1,-103.3678,-39.6003,9.0570
14,0,1,-104.0241,-40.2751,9.0555
14,0,1,-104.0241,-40.9314,8.9446
14,0,1,-107.3056,-44.3055,8.9374
14,0,1,-109.9308,-44.3795,9.3753
14,0,1,-111.2434,-45.7292,9.3724
14,0,1,-111.8997,-45.7477,9.4818
14,0,1,-113.8686,-47.7721,9.4775
15,0,1,-132.2893,-50.8631,7.7953
15,0,1,-132.9456,-50.8816,7.9047
15,0,1,-134.2582,-49.6060,8.3455
15,0,1,-134.9145,-49.6245,8.4550
15,0,1,-138.8523,-45.7976,9.7773
15,0,1,-139.5086,-45.8161,9.8867
15,0,1,-142.7901,-42.6270,10.9886
15,0,1,-142.7901,-41.9707,11.0996
15,0,1,-144.1027,-40.6950,11.5403
15,0,1,-144.1027,-40.0387,11.6512
15,0,1,-144.7590,-39.4009,11.8716
15,0,1,-144.7590,-38.0883,12.0935
15,0,1,-145.4153,-37.4504,12.3138
15,0,1,-145.4153,-35.4815,12.6466
15,0,1,-144.7590,-34.8067,12.6480
15,0,1,-132.2893,-6.2335,15.3375
15,0,1,-131.6330,-6.2150,15.2281
15,0,1,-130.9767,-5.5401,15.2295
15,0,1,-130.3204,-5.5216,15.1200
15,0,1,-129.6641,-4.8468,15.1215
15,0,1,-129.0078,-4.8283,15.0120
15,0,1,-128.3515,-4.1535,15.0135
15,0,1,-126.3825,-4.0980,14.6851
15,0,1,-125.7262,-3.4232,14.6865
15,0,1,-122.4447,-3.3307,14.1392
15,0,1,-121.7884,-2.6559,14.1406
15,0,1,-120.4758,-2.6189,13.9217
15,0,1,-119.8195,-3.2567,13.7013
15,0,1,-115.2254,-3.1272,12.9350
15,0,1,-114.5691,-3.7650,12.7147
15,0,1,-113.9128,-3.7465,12.6052
15,0,1,-113.2565,-4.3843,12.3848
15,0,1,-111.9439,-4.3473,12.1659
15,0,1,-111.2876,-4.9852,11.9455
15,0,1,-110.6313,-4.9667,11.8360
15,0,1,-109.9750,-5.6045,11.6156
15,0,1,-109.3187,-5.5860,11.5062
15,0,1,-108.0061,-6.8616,11.0654
15,0,1,-107.3498,-6.8431,10.9559
15,0,1,-100.7868,-13.2213,8.7521
15,0,1,-100.7868,-13.8776,8.6412
15,0,1,-100.1305,-14.5154,8.4208
15,0,1,-100.1305,-15.1718,8.3099
15,0,1,-99.4742,-15.8096,8.0895
15,0,1,-99.4742,-17.1222,7.8677
15,0,1,-98.8179,-17.7600,7.6473
15,0,1,-98.8179,-18.4164,7.5364
15,0,1,-98.1616,-19.0542,7.3160
15,0,1,-98.1616,-26.2737,6.0959
15,0,1,-98.8179,-26.9485,6.0945
15,0,1,-98.8179,-28.2611,5.8726
15,0,1,-99.4742,-28.9360,5.8712
15,0,1,-99.4742,-29.5923,5.7603
15,0,1,-100.1305,-31.5797,5.5370
15,0,1,-102.0994,-37.5421,4.8672
15,0,1,-103.4120,-39.5481,4.7533
15,0,1,-104.7246,-41.5540,4.6395
15,0,1,-106.0372,-42.9036,4.6366
15,0,1,-106.0372,-43.5600,4.5257
15,0,1,-106.6935,-44.2348,4.5243
15,0,1,-106.6935,-44.8911,4.4134
15,0,1,-108.0061,-46.2407,4.4105
15,0,1,-108.0061,-46.8971,4.2995
15,0,1,-108.6624,-47.5719,4.2981
15,0,1,-108.6624,-48.2282,4.1872
15,0,1,-112.6002,-50.3082,4.5112
15,0,1,-113.9128,-50.3452,4.7302
15,0,1,-118.5069,-51.1310,5.3855
15,0,1,-118.5069,-51.7873,5.2746
16,0,1,-121.1764,-52.4654,1.2979
16,0,1,-121.8327,-51.8275,1.5183
16,0,1,-129.0520,-52.0310,2.7224
16,0,1,-129.7083,-51.3932,2.9428
16,0,1,-131.6772,-51.4487,3.2712
16,0,1,-132.3335,-50.8109,3.4916
16,0,1,-132.9898,-50.8294,3.6011
16,0,1,-133.6461,-50.1916,3.8215
16,0,1,-134.9587,-50.2286,4.0404
16,0,1,-140.2091,-45.1260,5.8035
16,0,1,-140.2091,-44.4697,5.9144
16,0,1,-145.4595,-39.3672,7.6774
16,0,1,-145.4595,-38.7108,7.7884
16,0,1,-146.1158,-38.0730,8.0087
16,0,1,-146.1158,-37.4167,8.1197
16,0,1,-146.7721,-36.7789,8.3400
16,0,1,-146.7721,-36.1226,8.4510
16,0,1,-147.4284,-35.4847,8.6713
16,0,1,-147.4284,-30.2342,9.5587
16,0,1,-146.1158,-28.8846,9.5616
16,0,1,-146.1158,-28.2282,9.6725
16,0,1,-131.6772,-4.8501,11.1462
16,0,1,-131.0209,-4.8316,11.0368
16,0,1,-130.3646,-4.1568,11.0382
16,0,1,-129.7083,-4.1383,10.9288
16,0,1,-129.0520,-3.4635,10.9302
16,0,1,-128.3957,-3.4450,10.8207
16,0,1,-127.7394,-2.7701,10.8222
16,0,1,-122.4890,-2.6221,9.9464
16,0,1,-121.8327,-1.9473,9.9479
16,0,1,-120.5201,-1.9103,9.7290
16,0,1,-119.8638,-2.5481,9.5086
16,0,1,-119.2075,-2.5296,9.3991
16,0,1,-118.5511,-1.8548,9.4006
16,0,1,-117.8948,-2.4926,9.1802
16,0,1,-116.5822,-2.4556,8.9612
16,0,1,-115.9259,-3.0935,8.7409
16,0,1,-113.9570,-3.0380,8.4124
16,0,1,-113.3007,-3.6758,8.1921
16,0,1,-112.6444,-3.6573,8.0826
16,0,1,-111.9881,-4.2951,7.8622
16,0,1,-111.3318,-4.2766,7.7527
16,0,1,-110.6755,-4.9144,7.5324
16,0,1,-110.0192,-4.8959,7.4229
16,0,1,-108.7066,-6.1716,6.9821
16,0,1,-108.0503,-6.1531,6.8727
16,0,1,-102.1436,-11.8934,4.8892
16,0,1,-102.1436,-12.5497,4.7783
16,0,1,-101.4873,-13.1876,4.5579
16,0,1,-101.4873,-13.8439,4.4470
16,0,1,-100.8310,-14.4817,4.2266
16,0,1,-100.8310,-15.1380,4.1157
16,0,1,-100.1747,-15.7758,3.8953
