slice_idx,circle_idx,is_articular,area_px,center_x_mm,center_y_mm,center_z_mm,normal_x,normal_y,normal_z,radius_mm,num_inliers,num_total_in_slice,inlier_ratio,fit_residual_mm
13,0,1,1935,-118.5710,-26.1600,17.0129,-0.166790,0.164300,-0.972207,20.5963,49,80,0.6125,0.5837
13,1,1,1935,-121.4739,-35.1232,15.9961,-0.166790,0.164300,-0.972207,20.6545,29,80,0.3625,0.4527
14,0,1,2262,-120.7780,-29.5601,12.4968,-0.166790,0.164300,-0.972207,25.4948,63,93,0.6774,0.5213
15,0,1,2565,-122.8985,-28.0978,8.7877,0.166790,-0.164300,0.972207,25.1844,58,82,0.7073,0.4983
16,0,1,2541,-123.6941,-26.9533,4.7975,-0.166790,0.164300,-0.972207,24.7614,56,81,0.6914,0.5740
17,0,1,2423,-123.4103,-30.7537,-0.2135,-0.166790,0.164300,-0.972207,20.5936,48,79,0.6076,0.6665
18,0,1,2240,-124.4453,-27.7801,-3.8535,-0.166790,0.164300,-0.972207,20.7152,47,74,0.6351,0.6164
19,0,0,1675,-126.0446,-27.5667,-7.8631,-0.166790,0.164300,-0.972207,18.8156,43,57,0.7544,0.5785
21,0,0,1006,-132.6014,-26.8956,-15.2649,0.166790,-0.164300,0.972207,13.4277,38,42,0.9048,0.4988
22,0,0,781,-134.9046,-25.5693,-18.9657,-0.166790,0.164300,-0.972207,12.4172,44,45,0.9778,0.5711
23,0,0,689,-137.0438,-24.5778,-22.7512,-0.166790,0.164300,-0.972207,11.9024,38,38,1.0000,0.4809
24,0,0,624,-138.7202,-23.5989,-26.6183,-0.166790,0.164300,-0.972207,11.6023,36,36,1.0000,0.4854
25,0,0,605,-140.3645,-22.6423,-30.4946,-0.166790,0.164300,-0.972207,11.3050,32,32,1.0000,0.5113
26,0,0,565,-141.8533,-21.4683,-34.3608,-0.166790,0.164300,-0.972207,10.8467,28,28,1.0000,0.4998
27,0,0,522,-143.8525,-20.2787,-38.1369,-0.166790,0.164300,-0.972207,10.9862,27,28,0.9643,0.6723
28,0,0,549,-144.9131,-19.6734,-42.1727,0.166790,-0.164300,0.972207,11.5251,35,36,0.9722,0.6081
29,0,0,565,-147.2331,-18.2939,-45.8616,-0.166790,0.164300,-0.972207,11.1457,40,41,0.9756,0.6043
