slice_idx,num_points,x_mm,y_mm,z_mm
13,41,-134.2519,-50.4411,15.5996
13,41,-135.0993,-50.4650,15.7410
13,41,-138.4886,-47.1711,16.8791
13,41,-138.4886,-46.3237,17.0223
13,41,-139.3359,-45.5003,17.3068
13,41,-139.3359,-43.8055,17.5932
13,41,-140.1833,-42.9821,17.8778
13,41,-140.1833,-42.1347,18.0210
13,41,-141.0306,-41.3112,18.3055
13,41,-141.0306,-39.6165,18.5919
13,41,-141.8780,-38.7930,18.8764
13,41,-141.8780,-37.0983,19.1628
13,41,-141.0306,-36.2271,19.1647
13,41,-141.0306,-34.5323,19.4511
13,41,-135.0993,-15.7232,21.6122
13,41,-134.2519,-14.8520,21.6141
13,41,-134.2519,-14.0046,21.7573
13,41,-128.3206,-7.9059,21.7704
13,41,-126.6259,-7.8581,21.4877
13,41,-125.7785,-6.9869,21.4896
13,41,-124.0839,-6.9391,21.2069
13,41,-123.2365,-6.0679,21.2088
13,41,-116.4578,-5.8768,20.0781
13,41,-115.6105,-6.7003,19.7936
13,41,-113.9158,-6.6525,19.5109
13,41,-113.0685,-7.4760,19.2264
13,41,-111.3738,-7.4282,18.9438
13,41,-106.2898,-12.3691,17.2366
13,41,-105.4425,-12.3452,17.0952
13,41,-100.3584,-17.2860,15.3880
13,41,-100.3584,-18.1334,15.2448
13,41,-99.5111,-18.9569,14.9603
13,41,-99.5111,-19.8042,14.8171
13,41,-98.6638,-20.6277,14.5326
13,41,-98.6638,-24.0172,13.9598
13,41,-97.8164,-24.8406,13.6752
13,41,-97.8164,-27.3827,13.2456
13,41,-98.6638,-28.2540,13.2438
13,41,-98.6638,-31.6434,12.6709
13,41,-115.6105,-50.7630,12.3472
13,41,-115.6105,-51.6104,12.2040
14,53,-118.0057,-55.2049,7.6873
14,53,-123.9371,-55.3721,8.6767
14,53,-124.7844,-54.5486,8.9612
14,53,-127.3264,-54.6202,9.3852
14,53,-128.1737,-53.7968,9.6697
14,53,-129.0211,-53.8207,9.8111
14,53,-129.8684,-52.9972,10.0956
14,53,-131.5631,-53.0449,10.3782
14,53,-132.4104,-52.2215,10.6628
14,53,-133.2578,-52.2454,10.8041
14,53,-134.9524,-50.5984,11.3732
14,53,-135.7998,-50.6223,11.5145
14,53,-139.1891,-47.3284,12.6526
14,53,-139.1891,-46.4810,12.7958
14,53,-140.8838,-44.8341,13.3649
14,53,-140.8838,-43.9867,13.5081
14,53,-142.5785,-42.3398,14.0772
14,53,-142.5785,-41.4924,14.2204
14,53,-143.4258,-40.6689,14.5049
14,53,-143.4258,-32.1953,15.9369
14,53,-136.6471,-14.2097,17.8135
14,53,-135.7998,-13.3385,17.8154
14,53,-135.7998,-12.4911,17.9586
14,53,-134.1051,-10.7486,17.9623
14,53,-134.1051,-9.9012,18.1055
14,53,-131.5631,-7.2875,18.1111
14,53,-130.7158,-7.2636,17.9698
14,53,-129.8684,-6.3924,17.9716
14,53,-129.0211,-6.3685,17.8303
14,53,-128.1737,-5.4973,17.8322
14,53,-127.3264,-5.4734,17.6908
14,53,-126.4791,-4.6021,17.6927
14,53,-123.0897,-4.5066,17.1274
14,53,-122.2424,-3.6353,17.1293
14,53,-118.8530,-3.5398,16.5639
14,53,-118.0057,-4.3633,16.2794
14,53,-116.3110,-4.3155,15.9967
14,53,-115.4637,-5.1390,15.7122
14,53,-113.7690,-5.0912,15.4295
14,53,-112.9217,-5.9147,15.1450
14,53,-111.2270,-5.8669,14.8623
14,53,-109.5323,-7.5139,14.2933
14,53,-108.6850,-7.4900,14.1520
14,53,-106.9903,-9.1369,13.5829
14,53,-106.1430,-9.1131,13.4416
14,53,-101.0590,-14.0539,11.7344
14,53,-101.0590,-15.7486,11.4480
14,53,-99.3643,-17.3956,10.8789
14,53,-99.3643,-19.0903,10.5925
14,53,-98.5169,-19.9138,10.3080
14,53,-114.6163,-50.8725,7.8380
14,53,-115.4637,-51.7438,7.8362
14,53,-115.4637,-54.2859,7.4065
15,48,-125.4849,-53.8585,4.8779
15,48,-126.3322,-53.0351,5.1625
15,48,-128.8743,-53.1067,5.5865
15,48,-129.7216,-52.2832,5.8710
15,48,-131.4163,-52.3310,6.1536
15,48,-132.2636,-51.5075,6.4382
15,48,-133.1109,-51.5314,6.5795
15,48,-133.9583,-50.7079,6.8640
15,48,-134.8056,-50.7318,7.0054
15,48,-141.5843,-44.1440,9.2816
15,48,-141.5843,-43.2967,9.4248
15,48,-144.1263,-40.8262,10.2784
15,48,-144.1263,-39.9789,10.4216
15,48,-144.9737,-39.1554,10.7062
15,48,-144.9737,-37.4607,10.9926
15,48,-145.8210,-36.6372,11.2771
15,48,-145.8210,-35.7898,11.4203
15,48,-144.1263,-34.0474,11.4240
15,48,-135.6530,-10.9298,13.8772
15,48,-134.8056,-10.0585,13.8790
15,48,-134.8056,-9.2112,14.0222
15,48,-131.4163,-5.7262,14.0297
15,48,-130.5689,-5.7023,13.8884
15,48,-129.7216,-4.8311,13.8902
15,48,-128.8743,-4.8072,13.7489
15,48,-128.0269,-3.9359,13.7508
15,48,-125.4849,-3.8643,13.3268
15,48,-124.6376,-2.9930,13.3287
15,48,-117.8589,-2.8020,12.1980
15,48,-117.0115,-3.6254,11.9135
15,48,-115.3169,-3.5777,11.6308
15,48,-114.4695,-4.4012,11.3463
15,48,-112.7749,-4.3534,11.0636
15,48,-111.9275,-5.1769,10.7791
15,48,-111.0802,-5.1530,10.6378
15,48,-110.2328,-5.9765,10.3532
15,48,-109.3855,-5.9526,10.2119
15,48,-101.7595,-13.3638,7.6511
15,48,-101.7595,-15.0586,7.3647
15,48,-100.0648,-16.7055,6.7956
15,48,-100.0648,-18.4002,6.5092
15,48,-99.2175,-19.2237,6.2247
15,48,-105.9962,-45.6829,2.9161
15,48,-109.3855,-49.1679,2.9086
15,48,-110.2328,-49.1918,3.0500
15,48,-111.0802,-50.0631,3.0481
15,48,-113.6222,-50.1347,3.4721
15,48,-119.5536,-53.6913,3.8886
16,57,-128.7274,-52.3928,1.3618
16,57,-129.5748,-51.5693,1.6464
16,57,-131.2695,-51.6171,1.9290
16,57,-132.1168,-50.7936,2.2136
16,57,-132.9641,-50.8175,2.3549
16,57,-133.8115,-49.9940,2.6394
16,57,-134.6588,-50.0179,2.7808
16,57,-135.5061,-49.1944,3.0653
16,57,-136.3535,-49.2183,3.2066
16,57,-138.8955,-46.7479,4.0602
16,57,-138.8955,-45.9005,4.2034
16,57,-143.1322,-41.7831,5.6261
16,57,-143.1322,-40.9358,5.7693
16,57,-145.6742,-38.4653,6.6229
16,57,-145.6742,-37.6180,6.7661
16,57,-146.5215,-36.7945,7.0506
16,57,-146.5215,-31.7103,7.9098
16,57,-145.6742,-30.8391,7.9117
16,57,-145.6742,-29.1444,8.1981
16,57,-135.5061,-9.3685,9.7958
16,57,-133.8115,-7.6260,9.7995
16,57,-133.8115,-6.7786,9.9427
16,57,-132.1168,-5.0361,9.9464
16,57,-131.2695,-5.0123,9.8051
16,57,-130.4221,-4.1410,9.8070
16,57,-129.5748,-4.1171,9.6656
16,57,-128.7274,-3.2459,9.6675
16,57,-127.0328,-3.1981,9.3848
16,57,-126.1854,-2.3269,9.3867
16,57,-120.2541,-2.1597,8.3974
16,57,-119.4067,-2.9832,8.1129
16,57,-117.7121,-2.9354,7.8302
16,57,-116.8647,-3.7589,7.5457
16,57,-114.3227,-3.6872,7.1217
16,57,-113.4754,-4.5107,6.8371
16,57,-112.6280,-4.4868,6.6958
16,57,-111.7807,-5.3103,6.4113
16,57,-110.9334,-5.2864,6.2699
16,57,-109.2387,-6.9333,5.7009
16,57,-108.3914,-6.9095,5.5596
16,57,-103.3073,-11.8503,3.8524
16,57,-103.3073,-12.6977,3.7092
16,57,-102.4600,-13.5211,3.4246
16,57,-102.4600,-15.2159,3.1382
16,57,-101.6127,-16.0393,2.8537
16,57,-100.7653,-19.4049,2.1396
16,57,-103.3073,-44.0500,-1.5893
16,57,-106.6967,-47.5350,-1.5968
16,57,-107.5440,-47.5589,-1.4554
16,57,-108.3914,-48.4301,-1.4573
16,57,-109.2387,-48.4540,-1.3160
16,57,-110.0860,-49.3252,-1.3178
16,57,-110.9334,-49.3491,-1.1765
